"","date","pref","npos"
"1",2021-06-01,"ALL",2640
"2",2021-06-02,"ALL",3031
"3",2021-06-03,"ALL",2825
"4",2021-06-04,"ALL",2586
"5",2021-06-05,"ALL",2648
"6",2021-06-06,"ALL",2017
"7",2021-06-07,"ALL",1276
"8",2021-06-08,"ALL",1883
"9",2021-06-09,"ALL",2224
"10",2021-06-10,"ALL",2044
"11",2021-06-11,"ALL",1934
"12",2021-06-12,"ALL",1941
"13",2021-06-13,"ALL",1384
"14",2021-06-14,"ALL",930
"15",2021-06-15,"ALL",1418
"16",2021-06-16,"ALL",1697
"17",2021-06-17,"ALL",1550
"18",2021-06-18,"ALL",1619
"19",2021-06-19,"ALL",1509
"20",2021-06-20,"ALL",1304
"21",2021-06-21,"ALL",864
"22",2021-06-22,"ALL",1432
"23",2021-06-23,"ALL",1775
"24",2021-06-24,"ALL",1669
"25",2021-06-25,"ALL",1705
"26",2021-06-26,"ALL",1619
"27",2021-06-27,"ALL",1280
"28",2021-06-28,"ALL",989
"29",2021-06-29,"ALL",1376
"30",2021-06-30,"ALL",1810
"31",2021-07-01,"ALL",1741
"32",2021-07-02,"ALL",1773
"33",2021-07-03,"ALL",1864
"34",2021-07-04,"ALL",1479
"35",2021-07-05,"ALL",1021
"36",2021-07-06,"ALL",1658
"37",2021-07-07,"ALL",2181
"38",2021-07-08,"ALL",2239
"39",2021-07-09,"ALL",2259
"40",2021-07-10,"ALL",2452
"41",2021-07-11,"ALL",2021
"42",2021-07-12,"ALL",1491
"43",2021-07-13,"ALL",2377
"44",2021-07-14,"ALL",3170
"45",2021-07-15,"ALL",3408
"46",2021-07-16,"ALL",3419
"47",2021-07-17,"ALL",3871
"48",2021-07-18,"ALL",3093
"49",2021-07-19,"ALL",2318
"50",2021-07-20,"ALL",3743
"51",2021-07-21,"ALL",4933
"52",2021-07-22,"ALL",5386
"53",2021-07-23,"ALL",4204
"54",2021-07-24,"ALL",3576
"55",2021-07-25,"ALL",5008
"56",2021-07-26,"ALL",4659
"57",2021-07-27,"ALL",7619
"58",2021-07-28,"ALL",9568
"59",2021-07-29,"ALL",10687
"60",2021-07-30,"ALL",10728
"61",2021-07-31,"ALL",12328
"62",2021-08-01,"ALL",10160
