"","date","pref","npos"
"1",2021-06-01,"Tokyo",471
"2",2021-06-02,"Tokyo",487
"3",2021-06-03,"Tokyo",508
"4",2021-06-04,"Tokyo",472
"5",2021-06-05,"Tokyo",436
"6",2021-06-06,"Tokyo",351
"7",2021-06-07,"Tokyo",235
"8",2021-06-08,"Tokyo",369
"9",2021-06-09,"Tokyo",440
"10",2021-06-10,"Tokyo",439
"11",2021-06-11,"Tokyo",435
"12",2021-06-12,"Tokyo",467
"13",2021-06-13,"Tokyo",304
"14",2021-06-14,"Tokyo",209
"15",2021-06-15,"Tokyo",337
"16",2021-06-16,"Tokyo",501
"17",2021-06-17,"Tokyo",452
"18",2021-06-18,"Tokyo",453
"19",2021-06-19,"Tokyo",388
"20",2021-06-20,"Tokyo",376
"21",2021-06-21,"Tokyo",236
"22",2021-06-22,"Tokyo",435
"23",2021-06-23,"Tokyo",619
"24",2021-06-24,"Tokyo",570
"25",2021-06-25,"Tokyo",562
"26",2021-06-26,"Tokyo",534
"27",2021-06-27,"Tokyo",386
"28",2021-06-28,"Tokyo",317
"29",2021-06-29,"Tokyo",476
"30",2021-06-30,"Tokyo",714
"31",2021-07-01,"Tokyo",673
"32",2021-07-02,"Tokyo",660
"33",2021-07-03,"Tokyo",716
"34",2021-07-04,"Tokyo",518
"35",2021-07-05,"Tokyo",342
"36",2021-07-06,"Tokyo",593
"37",2021-07-07,"Tokyo",920
"38",2021-07-08,"Tokyo",896
"39",2021-07-09,"Tokyo",822
"40",2021-07-10,"Tokyo",950
"41",2021-07-11,"Tokyo",614
"42",2021-07-12,"Tokyo",502
"43",2021-07-13,"Tokyo",830
"44",2021-07-14,"Tokyo",1149
"45",2021-07-15,"Tokyo",1308
"46",2021-07-16,"Tokyo",1271
"47",2021-07-17,"Tokyo",1410
"48",2021-07-18,"Tokyo",1008
"49",2021-07-19,"Tokyo",727
"50",2021-07-20,"Tokyo",1387
"51",2021-07-21,"Tokyo",1832
"52",2021-07-22,"Tokyo",1979
"53",2021-07-23,"Tokyo",1359
"54",2021-07-24,"Tokyo",1128
"55",2021-07-25,"Tokyo",1763
"56",2021-07-26,"Tokyo",1429
"57",2021-07-27,"Tokyo",2848
"58",2021-07-28,"Tokyo",3177
"59",2021-07-29,"Tokyo",3865
"60",2021-07-30,"Tokyo",3300
"61",2021-07-31,"Tokyo",4058
"62",2021-08-01,"Tokyo",3058
